0 	 10 
1 	 15 
2 	 20 
3 	 25 
4 	 30 
5 	 35 
6 	 40 
7 	 45 
8 	 50 
9 	 55 
10 	 60 
11 	 65 
12 	 70 
13 	 75 
14 	 80 
15 	 85 
16 	 90 
17 	 95 
18 	 100 
19 	 105 
20 	 110 
21 	 115 
22 	 120 
23 	 125 
24 	 130 
25 	 135 
26 	 140 
27 	 145 
28 	 150 
29 	 155 
30 	 160 
31 	 165 
32 	 170 
33 	 175 
34 	 180 
35 	 185 
36 	 190 
37 	 195 
38 	 200 
39 	 205 
40 	 210 
41 	 215 
42 	 220 
43 	 225 
44 	 230 
45 	 235 
46 	 240 
47 	 245 
48 	 250 
49 	 255 
50 	 260 
51 	 265 
52 	 270 
53 	 275 
54 	 280 
55 	 285 
56 	 290 
57 	 295 
58 	 300 
59 	 305 
60 	 310 
61 	 315 
62 	 320 
63 	 325 
64 	 330 
65 	 335 
66 	 340 
67 	 345 
68 	 350 
69 	 355 
70 	 360 
71 	 365 
72 	 370 
73 	 375 
74 	 380 
75 	 385 
76 	 390 
77 	 395 
78 	 400 
79 	 405 
80 	 410 
81 	 415 
82 	 420 
83 	 425 
84 	 430 
85 	 435 
86 	 440 
87 	 445 
88 	 450 
89 	 455 
90 	 460 
91 	 465 
92 	 470 
93 	 475 
94 	 480 
95 	 485 
96 	 490 
97 	 495 
98 	 500 
99 	 505 
